id,dist_name,id(ours),dist_name(ors)
101,Kupwara,1,Kupwara
102,Budgam,2,Budgam
103,Leh,3,Leh(Ladakh)
104,Kargil,4,Kargil
105,Poonch,5,punch
106,Rajouri,6,Rajouri
107,Kathua,7,Kathua
108,Baramulla,8,Baramula
109,Bandipora,9,Bandipore
110,Srinagar,10,Srinagar
111,Ganderbal,11,Ganderbal
112,Pulwama,12,Pulwama
113,Shopian,13,Shupiyan
114,Anantnag,14,Anantnag
115,Kulgam,15,Kulgam
116,Doda,16,Doda
117,Ramban,17,Ramban
118,Kishtwar,18,Kishtwar
119,Udhampur,19,Udhampur
120,Reasi,20,Reasi
121,Jammu,21,Jammu
122,Samba,22,Samba
201,Chamba,23,Chamba
202,Kangra,24,Kangra
203,Lahaul And Spiti,25,Lahul & Spiti
204,Kullu,26,Kullu
205,Mandi,27,Mandi
206,Hamirpur,28,Hamirpur
207,Una,29,Una
208,Bilaspur,30,Bilaspur
209,Solan,31,Solan
210,Sirmaur,32,Sirmaur
211,Shimla,33,Shimla
212,Kinnaur,34,Kinnaur
301,Gurdaspur,35,Gurdaspur
302,Kapurthala,36,Kapurthala 
303,Jalandhar,37,Jalandhar
304,Hoshiarpur,38,Hoshiarpur
305,Shaheed Bhagat Singh Nagar,39,Shahid Bhagat Singh Nagar 
306,Fatehgarh Sahib,40,Fatehgarh Sahib
307,Ludhiana,41,Ludhiana
308,Moga,42,Moga
309,Ferozepur,43,Firozpur
310,Sri Muktsar Sahib,44,Muktsar
311,Faridkot,45,Faridkot
312,Bathinda,46,Bathinda
313,Mansa,47,Mansa
314,Patiala,48,Patiala
315,Amritsar,49,Amritsar
316,Tarn Taran,50,Tarn Taran
317,Rupnagar,51,Rupnagar
318,Sahibzada Ajit Singh Nagar,52,Sahibzada Ajit Singh Nagar
319,Sangrur,53,Sangrur
320,Barnala,54,Barnala
401,Chandigarh,55,Chandigarh
501,Uttarkashi,56,Uttarkashi
502,Chamoli,57,Chamoli
503,Rudraprayag,58,Rudraprayag
506,Pauri Garhwal,61, Garhwal
504,Tehri Garhwal,59,Tehri Garhwal
505,Dehradun,60,Dehradun
507,Pithoragarh,62,Pithoragarh
508,Bageshwar,63,Bageshwar
509,Almora,64,Almora
510,Champawat,65,Champawat
511,Nainital,66,Nainital
512,Udham Singh Nagar,67,Udham Singh Nagar
513,Haridwar,68,Hardwar
601,Panchkula,69,Panchkula
602,Ambala,70,Ambala
603,Yamuna Nagar,71,Yamunanagar
604,Kurukshetra,72,Kurukshetra
605,Kaithal,73,Kaithal
606,Karnal,74,Karnal
607,Panipat,75,Panipat
608,Sonepat,76,Sonipat
609,Jind,77,Jind
610,Fatehabad,78,Fatehabad
611,Sirsa,79,Sirsa
612,Hisar,80,Hisar
613,Bhiwani,81,Bhiwani
614,Rohtak,82,Rohtak
615,Jhajjar,83,Jhajjar
616,Mahendragarh,84,Mahendragarh
617,Rewari,85,Rewari
618,Gurgaon,86,Gurgaon
619,Mewat,87,Mewat 
620,Faridabad,88,Faridabad
621,Palwal,89,Palwal 
701,North West  Delhi,90,North West
702,North Delhi,91,North
703,North East  Delhi,92,North East
710,Shahdara,92,North East
705,Delhi,93,east delhi
704,East Delhi,93,East
706,Central Delhi,95,Central
707,West Delhi,96,West
708,South West  Delhi,97,South West
709,South Delhi,98,South Delhi
711,South East Delhi,98,South Delhi
801,Sri Ganganagar,99,Sri Ganganagar
802,Hanumangarh,100,Hanumangarh 
803,Bikaner,101,Bikaner
804,Churu,102,Churu 
805,Jhunjhunu,103,Jhunjhunun
806,Alwar,104,Alwar
807,Bharatpur,105,Bharatpur 
808,Dhaulpur,106,Dhaulpur
809,Karauli,107,Karauli 
810,Sawai Madhopur,108,Sawai Madhopur 
811,Dausa,109,Dausa 
812,Jaipur,110,Jaipur 
813,Sikar,111,Sikar
814,Nagaur,112,Nagaur
815,Jodhpur,113,Jodhpur
816,Jaisalmer,114,Jaisalmer
817,Barmer,115,Barmer 
818,Jalore,116,Jalor
819,Sirohi,117,Sirohi
820,Pali,118,Pali 
821,Ajmer,119,Ajmer
822,Tonk,120,Tonk 
823,Bundi,121,Bundi 
824,Bhilwara,122,Bhilwara
825,Rajsamand,123,Rajsamand
826,Dungarpur,124,Dungarpur 
827,Banswara,125,Banswara 
828,Chittaurgarh,126,Chittaurgarh 
829,Kota,127,Kota 
830,Baran,128,Baran 
831,Jhalawar,129,Jhalawar
832,Udaipur,130,Udaipur
942,Pratapgarh,131,Pratapgarh 
901,Saharanpur,132,Saharanpur
902,Muzaffarnagar,133,Muzaffarnagar
903,Bijnor,134,Bijnor
904,Moradabad,135,Moradabad
905,Rampur,136,Rampur
906,Amroha,137,amroha/jyotibha phule nagar
907,Meerut,138,Meerut
908,Bagpat,139,Baghpat
909,Ghaziabad,140,Ghaziabad
910,Gautam Buddh Nagar,141,Gautam Buddha Nagar
911,Bulandshahar,142,Bulandshahr 
912,Aligarh,143,Aligarh
913,Hathras,144,Hathras
914,Mathura,145,Mathura
915,Agra,146,Agra
916,Firozabad,147,Firozabad
917,Mainpuri,148,Mainpuri
918,Badaun,149,Badaun
919,Bareilly,150,Bareilly
920,Pilibhit,151,Pilibhit
921,Shahjahanpur,152,Shahjahanpur
923,Sitapur,154,Sitapur
924,Hardoi,155,Hardoi
925,Unnao,156,Unnao
926,Lucknow,157,Lucknow
927,Rae Bareli,158,Rae Bareli
928,Farrukhabad,159,Farrukhabad
929,Kannauj,160,Kannauj
930,Etawah,161,Etawah
931,Auraiya,162,Auraiya
932,Kanpur Dehat,163,Kanpur Dehat
933,Kanpur Nagar,164,Kanpur Nagar
934,Jalaun,165,Jalaun 
935,Jhansi,166,Jhansi
936,Lalitpur,167,Lalitpur
937,Hamirpur,168,Hamirpur
938,Mahoba,169,Mahoba
939,Banda,170,Banda
940,Chitrakoot,171,Chitrakoot
941,Fatehpur,172,Fatehpur
833,Pratapgarh,173,Pratapgarh
943,Kaushambi,174,Kaushambi
944,Allahabad,175,Allahabad 
945,Barabanki,176,Bara Banki
946,Faizabad,177,Faizabad
947,Ambedkar Nagar,178,Ambedkar Nagar
948,Sultanpur,179,Sultanpur
949,Bahraich,180,Bahraich
950,Shrawasti,181,Shrawasti
951,Balrampur,182,Balrampur
952,Gonda,183,Gonda
953,Siddharthnagar,184,Siddharthnagar
954,Basti,185,Basti
955,Sant Kabir Nagar,186,Sant Kabir Nagar
956,Maharajganj,187,Mahrajganj
957,Gorakhpur,188,Gorakhpur
958,Kushinagar,189,Kushinagar
959,Deoria,190,Deoria
960,Azamgarh,191,Azamgarh
961,Mau,192,Mau
962,Ballia,193,Ballia
963,Jaunpur,194,Jaunpur
964,Ghazipur,195,Ghazipur
965,Chandauli,196,Chandauli
966,Varanasi,197,Varanasi
967,Sant Ravidas Nagar,198,Sant Ravidas Nagar (Bhadohi)
968,Mirzapur,199,Mirzapur
969,Sonbhadra,200,Sonbhadra
970,Etah,201,Etah
971,Kanshiram Nagar,202,Kanshiram Nagar
1001,Pashchim Champaran,203,Pashchim Champaran
1002,Purvi Champaran,204,Purba Champaran
1003,Sheohar,205,Sheohar
1004,Sitamarhi,206,Sitamarhi
1005,Madhubani,207,Madhubani
1006,Supaul,208,Supaul
1007,Araria,209,Araria
1008,Kishanganj,210,Kishanganj
1009,Purnia,211,Purnia
1010,Katihar,212,Katihar
1011,Madhepura,213,Madhepura
1012,Saharsa,214,Saharsa
1013,Darbhanga,215,Darbhanga
1014,Muzaffarpur,216,Muzaffarpur
1015,Gopalganj,217,Gopalganj
1016,Siwan,218,Siwan
1017,Saran,219,Saran
1018,Vaishali,220,Vaishali
1019,Samastipur,221,Samastipur
1020,Begusarai,222,Begusarai
1021,Khagaria,223,Khagaria
1022,Bhagalpur,224,Bhagalpur
1023,Banka,225,Banka
1024,Munger,226,Munger
1025,Lakhisarai,227,Lakhisarai
1026,Sheikhpura,228,Sheikhpura
1027,Nalanda,229,Nalanda
1028,Patna,230,Patna
1029,Bhojpur,231,Bhojpur
1030,Buxar,232,Buxar
1031,Kaimur,233,Kaimur (Bhabua)
1032,Rohtas,234,Rohtas
1033,Aurangabad,235,Aurangabad
1034,Gaya,236,Gaya
1035,Nawada,237,Nawada
1036,Jamui,238,Jamui
1037,Jehanabad,239,Jehanabad 
1038,Arwal,240,Arwal
1101,North Sikkim,241,North  District
1102,West Sikkim,242,West District
1103,South Sikkim,243,South District
1104,East Sikkim,244,East District
1201,Tawang,245,Tawang
1202,West Kameng,246,West Kameng
1203,East Kameng,247,East Kameng
1204,Papum Pare,248,Papum Pare
1205,Upper Subansiri,249,Upper Subansiri
1206,West Siang,250,West Siang
1207,East Siang,251,East Siang
1208,Upper Siang,252,Upper Siang
1209,Changlang,253,Changlang
1210,Tirap,254,Tirap
1211,Lower Subansiri,255,Lower Subansiri
1212,Kurung Kumey,256,Kurung Kumey
1213,Dibang Valley,257,Dibang Valley
1214,Lower Dibang Valley,258,Lower Dibang Valley
1215,Lohit,259,Lohit
1216,Anjaw,260,Anjaw
1301,Mon,261,Mon
1302,Mokokchung,262,Mokokchung
1303,Zunheboto,263,Zunheboto
1304,Wokha,264,Wokha
1305,Dimapur,265,Dimapur 
1306,Phek,266,Phek
1307,Tuensang,267,Tuensang
1308,Longleng,268,Longleng
1309,Kiphire,269,Kiphire
1310,Kohima,270,Kohima
1311,Peren,271,Peren
1401,Senapati,272,Senapati
1402,Tamenglong,273,Tamenglong 
1403,Churachandpur,274,Churachandpur
1404,Bishnupur,275,Bishnupur
1405,Thoubal,276,Thoubal
1406,Imphal West,277,Imphal West
1407,Imphal East,278,Imphal East
1408,Ukhrul,279,Ukhrul
1409,Chandel,280,Chandel
1501,Mamit,281,Mamit
1502,Kolasib,282,Kolasib
1503,Aizawl,283,Aizawl
1504,Champhai,284,Champhai
1505,Serchhip,285,Serchhip
1506,Lunglei,286,Lunglei
1507,Lawngtlai,287,Lawngtlai
1508,Saiha,288,Saiha
1601,West Tripura,289,West Tripura 
1602,South Tripura,290,South Tripura 
1603,Dhalai,291,Dhalai
1604,North Tripura,292,North Tripura
1701,West Garo Hills,293,West Garo Hills
1702,East Garo Hills,294,East Garo Hills
1703,South Garo Hills,295,South Garo Hills
1704,West Khasi Hills,296,West Khasi Hills
1705,Ri-Bhoi,297,Ribhoi
1706,East Khasi Hills,298,East Khasi Hills
1707,West Jaintia Hills,299,Jaintia Hills
1801,Kokrajhar,300,Kokrajhar
1802,Dhubri,301,Dhubri
1803,Goalpara,302,Goalpara
1804,Barpeta,303,Barpeta
1805,Morigaon,304,Morigaon
1806,Nagaon,305,Nagaon
1807,Sonitpur,306,Sonitpur
1808,Lakhimpur,307,Lakhimpur
1809,Dhemaji,308,Dhemaji
1810,Tinsukia,309,Tinsukia
1811,Dibrugarh,310,Dibrugarh
1812,Sivasagar,311,Sivasagar
1813,Jorhat,312,Jorhat
1814,Golaghat,313,Golaghat
1815,Karbi Anglong,314,Karbi Anglong
1816,Dima Hasao,315,Dima Hasao
1817,Cachar,316,Cachar
1818,Karimganj,317,Karimganj
1819,Hailakandi,318,Hailakandi
1820,Bongaigaon,319,Bongaigaon
1821,Chirang,320,Chirang
1822,Kamrup,321,Kamrup
1823,Kamrup Metropolitan,322,Kamrup Metropolitan
1824,Nalbari,323,Nalbari
1825,Baksa,324,Baksa
1826,Darrang,325,Darrang
1827,Udalguri,326,Udalguri
1901,Darjeeling,327,Darjiling 
1902,Jalpaiguri,328,Jalpaiguri 
1903,Cooch Behar,329,Koch Bihar 
1904,Uttar Dinajpur,330,Uttar Dinajpur
1905,Dakshin Dinajpur,331,Dakshin Dinajpur
1906,Malda,332,Maldah 
1907,Murshidabad,333,Murshidabad 
1908,Birbhum,334,Birbhum
1909,Bardhaman,335,Barddhaman 
1910,Nadia,336,Nadia 
1911,North 24 Parganas,337,North Twenty Four Parganas
1912,Hooghly,338,Hugli 
1913,Bankura,339,Bankura 
1914,Purulia,340,Puruliya
1915,Howrah,341,Howrah
1916,Kolkata,342,Kolkata
1917,South 24 Parganas,343,South Twenty Four Parganas
1918,West Medinipur,344,Paschim Medinipur
1919,Purba Medinipur,345,Purba Medinipur
2001,Garhwa,346,Garhwa 
2002,Chatra,347,Chatra
2012,East Singhbhum,357,East Singhbhum
2003,Koderma,348,Kodarma
2004,Giridih,349,Giridih
2104,Deogarh,350,Deoghar
2006,Godda,351,Godda
2007,Sahibganj,352,Sahibganj
2008,Pakur,353,Pakur
2009,Dhanbad,354,Dhanbad
2010,Bokaro,355,Bokaro
2011,Lohardaga,356,Lohardaga
2013,Palamu,358,Palamu
2014,Latehar,359,Latehar
2015,Hazaribagh,360,Hazaribagh
2016,Ramgarh,361,Ramgarh
2017,Dumka,362,Dumka
2018,Jamtara,363,Jamtara
2019,Ranchi,364,Ranchi
2020,Khunti,365,Khunti
2021,Gumla,366,Gumla
2022,Simdega,367,Simdega
2023,West Singhbhum,368,Pashchimi Singhbhum
2024,Seraikela Kharsawan,369,Saraikela-Kharsawan
2101,Bargarh,370,Bargarh
2102,Jharsuguda,371,Jharsuguda
2103,Sambalpur,372,Sambalpur
2105,Sundargarh,374,Sundargarh
2106,Kendujhar,375,Kendujhar
2107,Mayurbhanj,376,Mayurbhanj
2108,Balasore,377,Baleshwar
2109,Bhadrak,378,Bhadrak
2110,Kendrapara,379,Kendrapara 
2111,Jagatsinghpur,380,Jagatsinghapur 
2112,Cuttack,381,Cuttack
2113,Jajpur,382,Jajapur  
2114,Dhenkanal,383,Dhenkanal
2115,Angul,384,Anugul
2116,Nayagarh,385,Nayagarh  
2117,Khordha,386,Khordha 
2118,Puri,387,Puri
2119,Ganjam,388,Ganjam
2120,Gajapati,389,Gajapati
2121,Kandhamal,390,Kandhamal
2122,Boudh,391,Boudh
2123,Subarnapur,392,Subarnapur
2124,Balangir,393,Balangir
2125,Nuapada,394,Nuapada
2126,Kalahandi,395,Kalahandi
2127,Rayagada,396,Rayagada  
2128,Nabarangpur,397,Nabarangapur 
2129,Koraput,398,Koraput
2130,Malkangiri,399,Malkangiri  
2201,Koriya,400,Koriya
2202,Surguja,401,Surguja
2203,Jashpur,402,Jashpur 
2724,Raigad,403,Raigarh
2205,Korba,404,Korba 
2206,Janjgir-Champa,405,Janjgir - Champa
2207,Bilaspur,406,Bilaspur
2208,Kawardha,407,kabir dham
2209,Rajnandgaon,408,Rajnandgaon
2210,Durg,409,Durg
2211,Raipur,410,Raipur
2212,Mahasamund,411,Mahasamund
2213,Dhamtari,412,Dhamtari 
2214,Kanker,413,Uttar Bastar Kanker
2215,Bastar,414,Bastar
2216,Narayanpur,415,Narayanpur
2217,Dantewada,416,Dakshin Bastar Dantewada
2903,Bijapur,417,Bijapur
2301,Sheopur,418,Sheopur 
2302,Morena,419,Morena
2303,Bhind,420,Bhind
2304,Gwalior,421,Gwalior
2305,Datia,422,Datia
2306,Shivpuri,423,Shivpuri
2307,Tikamgarh,424,Tikamgarh
2308,Chhatarpur,425,Chhatarpur
2309,Panna,426,Panna
2310,Sagar,427,Sagar
2311,Damoh,428,Damoh
2312,Satna,429,Satna
2313,Rewa,430,Rewa
2314,Umaria,431,Umaria
2315,Neemuch,432,Neemuch 
2316,Mandsaur,433,Mandsaur
2317,Ratlam,434,Ratlam
2318,Ujjain,435,Ujjain
2319,Shajapur,436,Shajapur
2320,Dewas,437,Dewas
2321,Dhar,438,Dhar
2322,Indore,439,Indore
2323,Khargone,440,Khargone (West Nimar)
2324,Barwani,441,Barwani 
2325,Rajgarh,442,Rajgarh
2326,Vidisha,443,Vidisha
2327,Bhopal,444,Bhopal
2328,Sehore,445,Sehore
2329,Raisen,446,Raisen
2330,Betul,447,Betul
2331,Harda,448,Harda
2332,Hoshangabad,449,Hoshangabad
2333,Katni,450,Katni 
2334,Jabalpur,451,Jabalpur
2335,Narsinghpur,452,Narsimhapur
2336,Dindori,453,Dindori 
2337,Mandla,454,Mandla
2338,Chhindwara,455,Chhindwara
2339,Seoni,456,Seoni
2340,Balaghat,457,Balaghat
2341,Guna,458,Guna
2342,Ashoknagar,459,Ashoknagar
2343,Shahdol,460,Shahdol
2344,Anuppur,461,Anuppur
2345,Sidhi,462,Sidhi
2346,Singrauli,463,Singrauli
2347,Jhabua,464,Jhabua
2348,Alirajpur,465,Alirajpur
2349,Khandwa,466,Khandwa (East Nimar)
2350,Burhanpur,467,Burhanpur
2401,Kachchh,468,Kachchh
2402,Banaskantha,469,Banas Kantha
2403,Patan,470,Patan  
2404,Mehsana,471,Mahesana
2405,Sabarkatha,472,Sabar Kantha
2406,Gandhinagar,473,Gandhinagar
2407,Ahmedabad,474,Ahmadabad
2408,Surendranagar,475,Surendranagar
2409,Rajkot,476,Rajkot
2410,Jamnagar,477,Jamnagar
2411,Porbandar,478,Porbandar 
2412,Junagadh,479,Junagadh
2413,Amreli,480,Amreli
2414,Bhavnagar,481,Bhavnagar
2415,Anand,482,Anand
2416,Kheda,483,Kheda
2417,Panchmahal,484,Panchmahal
2418,Dahod,485,Dahod
2419,Vadodara,486,Vadodara
2420,Narmada,487,Narmada
2421,Bharuch,488,Bharuch
2422,Dang,489,The Dangs
2423,Navsari,490,Navsari  
2424,Valsad,491,Valsad
2425,Surat,492,Surat
2426,Tapi,493,Tapi
2501,Diu,494,Diu
2502,Daman,495,Daman
2601,Dadra and Nagar Haveli,496,Dadra & Nagar Haveli
2701,Nandurbar,497,Nandurbar
2702,Dhule,498,Dhule
2703,Jalgaon,499,Jalgaon
2704,Buldhana,500,Buldana
2705,Akola,501,Akola
2706,Washim,502,Washim
2707,Amravati,503,Amravati
2708,Wardha,504,Wardha
2709,Nagpur,505,Nagpur
2710,Bhandara,506,Bhandara
2711,Gondia,507,Gondiya
2712,Gadchiroli,508,Gadchiroli
2713,Chandrapur,509,Chandrapur
2714,Yavatmal,510,Yavatmal
2715,Nanded,511,Nanded
2716,Hingoli,512,Hingoli
2717,Parbhani,513,Parbhani
2718,Jalna,514,Jalna
2719,Aurangabad,515,Aurangabad
2720,Nashik,516,Nashik
2721,Thane,517,Thane
2722,Mumbai Suburban,518,Mumbai Suburban
2723,Mumbai,519,Mumbai
2204,Raigarh,520,Raigarh
2725,Pune,521,Pune
2726,Ahmednagar,522,Ahmadnagar
2727,Beed,523,Bid
2728,Latur,524,Latur
2729,Osmanabad,525,Osmanabad
2730,Solapur,526,Solapur
2731,Satara,527,Satara
2732,Ratnagiri,528,Ratnagiri
2733,Sindhudurg,529,Sindhudurg
2734,Kolhapur,530,Kolhapur
2735,Sangli,531,Sangli
3601,Adilabad,532,Adilabad
3602,Nizamabad,533,Nizamabad
3603,Karimnagar,534,Karimnagar
3604,Medak,535,Medak
3605,Hyderabad,536,Hyderabad
3606,Ranga Reddy,537,Rangareddy
3607,Mahabubnagar,538,Mahbubnagar
3608,Nalgonda,539,Nalgonda
3609,Warangal,540,Warangal
3610,Khammam,541,Khammam
3701,Srikakulam,542,Srikakulam
3702,Vizianagaram,543,Vizianagaram
3703,Vishakhapatnam,544,Visakhapatnam
3704,East Godavari,545,East Godavari
3705,West Godavari,546,West Godavari
3706,Krishna,547,Krishna
3707,Guntur,548,Guntur
3708,Prakasam,549,Prakasam
3709,Nellore,550,Nellore
3711,Kurnool,552,Kurnool
3712,Anantapuram,553,Anantapur
3713,Chittoor,554,Chittoor
2901,Belagavi,555,Belgaum
2902,Bagalkot,556,Bagalkot 
2218,Bijapur,557,Bijapur
2904,Bidar,558,Bidar
2905,Raichur,559,Raichur
2906,Koppal,560,Koppal
2907,Gadag,561,Gadag
2908,Dharwad,562,Dharwad
2909,Uttara Kannada,563,Uttara Kannada
2910,Haveri,564,Haveri
2911,Bellary,565,Bellary
2912,Chitradurga,566,Chitradurga
2913,Davanagere,567,Davanagere
2914,Shimoga,568,Shimoga
2915,Udupi,569,Udupi
2916,Chikkamagaluru,570,Chikmagalur
2917,Tumkur,571,Tumkur
2918,Bangalore Urban,572,Bangalore
2919,Mandya,573,Mandya
2920,Hassan,574,Hassan
2921,Dakshina Kannada,575,Dakshina Kannada
2922,Kodagu,576,Kodagu
2923,Mysuru,577,Mysore
2924,Chamarajanagar,578,Chamarajanagar
2925,Gulbarga,579,Gulbarga
2926,Yadgir,580,Yadgir
2927,Kolar,581,Kolar
2928,Chikballapur,582,Chikkaballapura
2929,Bangalore Rural,583,Bangalore Rural
2930,Ramanagara,584,Ramanagara
3001,North Goa,585,North Goa
3002,South Goa,586,South Goa
3101,Lakshadweep,587,Lakshadweep
3201,Kasaragod,588,Kasaragod
3202,Kannur,589,Kannur
3203,Wayanad,590,Wayanad
3204,Kozhikode,591,Kozhikode
3205,Malappuram,592,Malappuram
3206,Palakkad,593,Palakkad
3207,Thrissur,594,Thrissur
3208,Ernakulam,595,Ernakulam
3209,Idukki,596,Idukki 
3210,Kottayam,597,Kottayam
3211,Alappuzha,598,Alappuzha
3212,Pathanamthitta,599,Pathanamthitta
3213,Kollam,600,Kollam
3214,Thiruvananthapuram,601,Thiruvananthapuram
3301,Tiruvallur,602,Thiruvallur
3302,Chennai,603,Chennai
3303,Kanchipuram,604,Kancheepuram
3304,Vellore,605,Vellore
3305,Tiruvannamalai,606,Tiruvannamalai
3306,Villupuram,607,Viluppuram
3307,Salem,608,Salem
3308,Namakkal,609,Namakkal   
3309,Erode,610,Erode
3310,Nilgiris,611,The Nilgiris
3311,Dindigul,612,Dindigul
3312,Karur,613,Karur 
3313,Tiruchirappalli,614,Tiruchirappalli
3314,Perambalur,615,Perambalur  
3315,Ariyalur,616,Ariyalur  
3316,Cuddalore,617,Cuddalore
3317,Nagapattinam,618,Nagapattinam  
3318,Thiruvarur,619,Thiruvarur
3319,Thanjavur,620,Thanjavur
3320,Pudukkottai,621,Pudukkottai
3321,Sivaganga,622,Sivaganga
3322,Madurai,623,Madurai
3323,Theni,624,Theni  
3324,Virudhunagar,625,Virudhunagar
3325,Ramanathapuram,626,Ramanathapuram
3326,Thoothukudi,627,Thoothukkudi
3327,Tirunelveli,628,Tirunelveli 
3328,Kanyakumari,629,Kanniyakumari
3329,Dharmapuri,630,Dharmapuri
3330,Krishnagiri,631,Krishnagiri
3331,Coimbatore,632,Coimbatore
3332,Tiruppur,633,Tiruppur
3401,Yanam,634,Yanam
3402,Pondicherry,635,Puducherry
3403,Mahe,636,Mahe
3404,Karaikal,637,Karaikal
3501,Nicobar,638,Nicobars
3502,North and Middle Andaman,639,North  & Middle Andaman
3503,South Andaman,640,South Andaman
